aardvark cerdo homiguero
aardvarks cerdo homigueros
ab abdominal
amalgams amalgamas
amaranth amaranto
amaranths amarantos
amaryllid amarilis
amaryllids amarilises
amaryllis amarilis
amaryllises amarilises
amateurs aficionados
amazement asombro
amazon Amazonas
amazons Amazonases
ambage circunloquio
ambassador embajador
ambassadors embajadores
ambatch lote
amber ámbar
ambers ámbares
ambery ámbar
ambiance ambiente
ambience ambiente
ambiguities ambigüedades
ambiguity ambigüedad
ambition ambición
ambitions ambiciones
ambivalence ambivalencia
ambivalences ambivalencias
ambivalency ambivalencia
ambivert ambivertido
ambiverts ambivertidos
ambles paseo sin prisas
amblings paseo sin prisas
amblyopia ambliopia
ambrosia ambrosía
ambulance ambulancia
ambulances ambulancias
ambush emboscada
ambusher emboscada
ambushers emboscadas
ambushes emboscadas
ameer emir
ameers ámbares
amelia amelia
amen amén
amendment enmienda
amendments enmiendas
amene amén
amenities servicios
amenity servicio
american americano la americana
americans americano la americanas
amerindian amerindio
amerindians amerindios
amethyst amatista
amethysts amatistas
amiens extraterrestres
amin amén
amir emir
amirs emires
ammer ámbar
ammiral almirante
ammirals almirantes
ammonia amoníaco
ammunition munición
ammunitions municiones
amnesia amnesia
amnesties amnistías
amnesty amnistía
amoeba ameba
amoebae ameba
amoebas amebas
amortisation amortización
amortisations amortizaciones
amortization amortización
amortizations amortizaciones
amount cantidad
amounts cantidades
amour amorío
amp amperio
ampersand signo &
ampersands signo &s
ampex vértice
amphetamine anfetamina
amphetamines anfetaminas
amphibian anfibio
amphibians anfibios
amphitheater anfiteatro
amphitheaters anfiteatros
amphitheatre anfiteatro
amplifier amplificador
amplifiers amplificadores
amplitude amplitud
amps amperios
amputation amputación
amputations amputaciones
amulet amuleto
amulets amuletos
amusement diversión
amusements diversiones
amygdal amígdala
amygdala amígdala
amygdalas amígdalas
amygdale amígdala
amygdales amígdalas
amygdalus amígdala
amylum asilo
anaconda anaconda
anacondas anacondas
anaesthesiologist anestesiólogo
anaesthesiologists anestesiólogos
anaesthetic anestesia
anagram anagrama
anagrams anagramas
analgesics analgésicos
analog análogo
analogies analogías
analogise analogía
analogises analogías
analogizes analogías
analogs análogos
analogy analogía
analyses análisises
analysis análisis
analyst analista
analysts analistas
anaphora anáfora
anaphoras anáforas
anarch anarquía
anarchies anarquías
anarchise anarquista
anarchises anarquistas
anarchist anarquista
anarchists anarquistas
anarchs anarquías
anarchy anarquía
anathema anatema
anathemas anatemas
anatomies anatomías
anatomises anatomías
anatomy anatomía
anatto achiote
ancestor antepasado
ancestors antepasados
ancestries ascendencias
ancestry ascendencia
anchor ancla
anchorage fondeadero
anchorages fondeaderos
anchorman presentador
anchormen presentadores
anchors anclas
anchovies anchoas
anchovy anchoa
ancillaries auxiliar la auxiliares
ancillary auxiliar la auxiliar
ancome semen
andalucian andaluz
android androide
androids androides
anecdote anécdota
anecdotes anécdotas
anele tobillo
aneles ángeles
anemone anémona
anemones anémonas
anesthesia anestesia
anesthesias anestesias
anesthesiologist anestesiólogo
anesthesiologists anestesiólogos
anesthetic anestesia
anesthetics anestesias
aneurysm aneurisma
aneurysms aneurismas
angel ángel
angeles ángeles
angelica angélica
angelo ángel
angels ángeles
anger ira
angers iras
angiogram angiograma
angiograms angiogramas
angle ángulo
angst angustia
angsts angustias
anguis angustia
anguish angustia
anguishes angustias
anhedonia anhedonia
anight noche
anil añil
aniler asta
anility habilidad
anima ánima
animadversion reprobación
animadversions reprobaciones
animality animalidad
animals animales
animaters animadores
animation animación
animations animaciones
animator animador
animators animadores
animatronics animatrónicas
anime anime
animism animismo
animosities animosidades
animosity animosidad
anise anís
aniseed anís
aniseeds aníses
anita ánima
anker ira
ankers iras
ankle tobillo
ankles tobillos
anklet pulsera de tobillo
anklets pulsera de tobillos
ankus ano
ankuses anos
anlage edad
annatto achiote
annattos achiotes
annex edificio anexo
annexation anexión
annexations anexiones
annexes edificio anexos
anni opositor la opositora
annihilation aniquilación
annihilations aniquilaciones
anniversaries aniversarios
anniversary aniversario
annotation anotación
annotations anotaciones
announcement anuncio
announcements anuncios
announcer presentador
announcers presentadores
annoyance irritación
annoyances irritaciones
annuals planta anuales
annuities anualidades
annuity anualidad
annulment anulación
annulments anulaciones
annulus corona circular
annunciation anunciación
annunciations anunciaciones
annus ano
anomalies anomalías
anonymity anonimato
anorak anorak
anoraks anoraks
anorectic anoréxico la anoréxica
anorectics anoréxico la anoréxicas
anoretics anoréxico la anoréxicas
anorexia anorexia
anorexics anoréxico la anoréxicas
anoxia anoxia
answer respuesta
answers respuestas
ant hormiga
antacid antiácido
antacids antiácidos
antagonises antagonistas
antagonist antagonista
antagonists antagonistas
anteater oso hormiguero
anteaters oso hormigueros
antecedents los antepasadoses
antelope antílopes
antelopes antílopes
antenna antena
antennae antenas
antennas antenas
anthea himno
anthem himno
anthems himnos
anthesis tesis
anthill hormiguero
anthills hormigueros
anthologies antologías
anthologise antología
anthologises antologías
anthology antología
anthrax ántrax
anthraxes ántraxes
anthropologist antropólogo
anthropologists antropólogos
anthropology antropología
antibes opositor la opositoras
antibiotics antibióticos
antibodies anticuerpos
antibody anticuerpo
anticipation previsión
anticipations previsiones
antidepressants antidepresivos
antidote antídoto
antidotes antídotos
antifreeze anticongelante
antihistamine antihistamínico
antihistamines antihistamínicos
antings hormigas
antioxidant antioxidante
antioxidants antioxidantes
antipasta antipasto
antipasto antipasto
antipastos antipastos
antipathies antipatías
antipathy antipatía
antique antigüedad
antiques antigüedades
antiquing antigüedad
antiquities  antigüedadeses
antiquity antigüedad
antis opositor la opositoras
antisemitism antisemitismo
antiseptics antisépticos
antitheses antítesises
antithesis antítesis
antler asta
antlers cornamentas
antonym antónimo
antonyms antónimos
ants hormigas
anura aura
anus ano
anuses anos
anvil yunque
anvils yunques
anxieties ansiedades
anxiety ansiedad
anzus ano
aorta aorta
aortae aorta
aortas aortas
apaid áfido
apartheid apartheid
apartment apartamento
apartments apartamentos
apathy apatía
ape simio
aperitif aperitivo
aperitifs aperitivos
apertness vigilancia
aperture orificio
apertures orificios
apes simios
apex vértice
apexes vértices
aphagia afasia
aphasia afasia
aphasiac afasia
aphid áfido
aphids áfidos
aphorise aforismo
aphorises aforismos
aphorism aforismo
aphorisms aforismos
aphrodisia afrodisíaco
aphrodisiac afrodisíaco
aphrodisiacs afrodisíacos
apocalypse apocalipsis
apocalypses apocalipsises
apocope apócope
apollo Apolo
apollos Apolos
apologia apología
apologies  excusases
apologises  excusases
apology disculpa
apoop caca
apostate apóstata
apostates apóstatas
apostle apóstol
apostles apóstoles
apostrophe apóstrofo
apostrophes apóstrofos
apostrophus apóstrofo
apothecaries boticarios
apothecary boticario
appair par
appals llamamientos
apparatus aparato
apparatuses aparatos
apparel ropa
apparels ropas
apparition aparición
apparitions apariciones
appeal llamamiento
appeals llamamientos
appearance aspecto
appearances  aparienciases
appeasement apaciguamiento
appel manzana
appels manzanas
appendage apéndice
appendages apéndices
appendectomies apendectomías
appendectomy apendectomía
appendicitis apendicitis
appendix apéndice
appendixes apéndices
appetise apetito
appetiser aperitivo
appetisers aperitivos
appetises apetitos
appetit apetito
appetite apetito
appetites apetitos
appetition petición
appetize aperitivo
appetizer aperitivo
appetizers aperitivos
appetizes aperitivos
applause los aplausos
apple manzana
apples manzanas
appliance electrodoméstico
appliances electrodomésticos
applicant solicitante
applicants solicitantes
application solicitud
applications solicitudes
appointment cita
appointments mobiliarios
appraisal avalúo
appraisals avalúos
appraiser tasador
appraisers tasadores
appreciation gratitud
appreciations gratitudes
apprehension aprensión
apprehensions aprensiones
apprentice aprendiz
apprentices aprendices
apprenticeship aprendizaje
apprenticeships aprendizajes
appress prensa
appriser tasador
apprisers tasadores
approach aproximación
approaches aproximaciones
approof prueba
appropriateness lo apropiado
appropriation apropiación
appropriations apropiaciones
approval aprobación
approvals aprobaciones
approximation aproximación
approximations aproximaciones
apricates albaricoques
apricot albaricoque
apricots albaricoques
apriority prioridad
apron delantal
aprons delantales
aptitude aptitud
apus ano
aqua color aguamarina
aquamarine aguamarina
aquamarines aguamarinas
aquaria acuario
aquarian acuario
aquarium acuario
aquariums acuarios
aquarius acuario
aqueduct acueducto
aqueducts acueductos
aquifer acuífero
aquifers acuíferos
arabian caballo árabe
arabians caballo árabes
arabica árabe
arabin árabe
arabis árabe
arabises árabes
arabs árabes
araby árabe
arachnid arácnido
arachnids arácnidos
aramaic arameo
araucaria araucaria
araucarias araucarias
arba área
arbitration arbitraje
arbitrations arbitrajes
arbitrator árbitro
arbitrators árbitros
arblast explosión
arbor cenador
arboreta arboreto
arboretum arboreto
arboretums arboretos
arborist arbolista
arborists arbolistas
arbors cenadores
arbour cenador
arbs  armases
arc arco
arcade sala de juegos recreativos
arcades sala de juegos recreativoses
arch arco
archaeologist arqueólogo
archaeologists arqueólogos
archaeology arqueología
archangel arcángel
archangels arcángeles
archbishop arzobispo
archbishops arzobispos
archdiocese archidiócesis
archdioceses archidiócesises
archeology arqueología
archer arquero
archeries tiro con arcos
archers arqueros
archery tiro con arco
arches arcos
archetype arquetipo
archetypes arquetipos
archeus arco
archie archivo
archipelago archipiélago
archipelagoes archipiélagos
archipelagos archipiélagos
architect arquitecto
architects arquitectos
architecture arquitectura
architectures arquitecturas
archive archivo
archology arqueología
arcings arcos
arcs arcos
area área
areach alcance
aread área
areads áreas
areal área
arear área
areas áreas
areola areola
areolae areola
argentine argentino la argentina
argentineans argentinos
argentines argentino la argentinas
argentinians argentino la argentinas
argentite argentino la argentina
argh arco
arghan afgano
arghans afganos
argument discusión
arguments discusiones
argy ejército
arian arriano
ariel gacela
ariels gacelas
aris  armas
aristocracies aristocracias
aristocracy aristocracia
aristocrat aristócrata
aristocrats aristócratas
arithmetic aritmética
ark arca
arkite cometa
arks arcas
arm brazo
armadillo armadillo
armadillos armadillos
armageddon Armagedón
armband brazalete
armbands brazaletes
armchair sillón
armchairs sillónes
armenians armenios
armies ejércitos
armils ejércitos
armis  armas
armistice armisticio
armistices armisticios
armoire armario
armoires arsenales
armor armadura
armories arsenales
armors armaduras
armory arsenal
armour armadura
armpit axila
armpits axilas
armrest apoyabrazos
armrests apoyabrazoses
arms  armases
armures armaduras
army ejército
arnica árnica
arnicas árnicas
aromatherapy aromaterapia
arousal excitación sexual
arousals excitación sexuales
arrah despliegue
arrahs paño de Arráses
arraignment lectura de los cargos
arraignments lectura de los cargoses
arrainment lectura de los cargos
arran despliegue
arrangement arreglo
arrangements los planeses
arranger arreglista
arrangers arreglistas
arras paño de Arrás
arrau despliegue
array despliegue
arrayed despliegue
arrayer despliegue
arrayers despliegues
arrays despliegues
arrest detención
arrestee detención
arrestees detenciones
arrests detenciones
arret detención
arrets detenciones
arrhythmia arritmia
arrival llegada
arrivals llegadas
arrogance arrogancia
arrogances arrogancias
arrow flecha
arrowhead punta de flecha
arrowheads punta de flechas
arrowroot arrurruz
arrowroots arrurruces
arrows flechas
arry ejército
arse culo
arsenic arsénico
arses culos
arson incendio provocado
arsonist pirómano
arsonists pirómanos
arsy ejército
art arte
arteries arterias
arterioles ruta principales
arteriosclerosis arteriosclerosis
artery arteria
arthritis artritis
artic camión articulado
artichoke alcachofa
artichokes alcachofas
article artículo
articles artículos
artics camión articulados
articulation articulación
articulations articulaciones
artifact artefacto
artifacts artefactos
artifice artificio
artilleries artillerías
artillery artillería
artisan artesano
artisans artesanos
artist artista
artiste artista
artistes artistas
artistries artes
artistry arte
artists artistas
arts  arteses
artwork obra de arte
artworks obra de artes
arugula rúcula
arya área
aryan ario
aryans arios
asafetida asafétida
asbestos asbesto
ascension ascensión
ascent ascenso
ascents ascensos
ascetics asceta la ascetas
ascian asiático la asiática
ascites ascitises
ashake vergüenza
ashame vergüenza
ashe ceniza
asher  cenizas
ashes  cenizases
ashet activo
ashets activos
ashine ceniza
ashiver escalofrío
ashtray cenicero
ashtrays ceniceros
asians asiático la asiáticas
asides apartes
asparagus espárrago
asparaguses espárragos
aspect aspecto
aspects aspectos
asphalt asfalto
asphalter asfalto
asphalts asfaltos
aspirates aspiradas
aspiration aspiración
aspirations aspiraciones
aspirin aspirina
aspirins aspirinas
aspread propagación
asprout brote
ass burro
assai ensayo
assailant agresor
assailants agresores
assassin asesino
assassination asesinato
assassinations asesinatos
assassins asesinos
assault asalto
assaults asaltos
assay ensayo
assays ensayos
assembler ensamblador
assemblers ensambladores
assemblies reuniones
assembly reunión
assent asentimiento
assentiveness asertividad
assents asentimientos
assertion afirmación
assertions afirmaciones
assertiveness asertividad
asses burros
assessment evaluación
assessments evaluaciones
assessor tasador
assessors tasadores
asset activo
assets activos
asshole cabrón
assholes cabrónes
assibilation asimilación
assibilations asimilaciones
assiege sitio
assignment asignación
assignments asignaciones
assimilation asimilación
assimilations asimilaciones
assistance ayuda
assistances ayudas
assistant ayudante
assistants ayudantes
assize tamaño
associate asociado la asociada
associates asociado la asociadas
association asociación
associations los recuerdoses
assolute absoluto
assonance asonancia
assonances asonancias
assortment surtido
assortments surtidos
assot activo
assumption suposición
assumptions suposiciones
assurance garantía
assurances garantías
assureds asegurado la aseguradas
astart comienzo
aster aster
asterisk asterisco
asterisks asteriscos
asteroid asteroide
asteroids asteroides
asters asteres
asthma asma
asthores autores
astigmatism astigmatismo
astonishment sorpresa
astonishments sorpresas
astringents astringentes
astroid asteroide
astroids asteroides
astrolabe astrolabio
astrolabes astrolabios
astrology astrología
astronaut astronauta
astronauts astronautas
astronomer astrónomo
astronomers astrónomos
astronomy astronomía
astrophysicist astrofísico
astrophysicists astrofísicos
astrophysics astrofísicas
asylum asilo
asylums asilos
asyndeton asíndeton
asyndetons asíndetones
atelier atelier
ateliers atelieres
atheise ateo
atheises ateos
atheism ateísmo
atheist ateo
atheists ateos
athlete deportista
athletes deportistas
athleticism atletismo
athrill emoción
atlantis Atlántida
atlas atlases
atlases Atlases
atman hombre
atmosphere atmósfera
atmospheres atmósferas
atok átomo
atoke atole
atoks átomos
atom átomo
atoms átomos
atonement compensación
atonements compensaciones
atrium atrio
atriums atrios
atrocities atrocidades
atrocity atrocidad
atrophies atrofias
atrophy atrofia
atropia atropina
atropin atropina
attache agregado
attachment accesorio
attachments accesorios
attack ataque
attacker atacante
attackers atacantes
attacks ataques
attainment logro
attainments logros
attempt intento
attempts intentos
attendance asistencia
attendances asistencias
attendancy asistencia
attendant encargado
attendants encargados
attendee asistente
attendees asistentes
attender asistente
attenders asistentes
attention atención
attentions atenciones
attentiveness atención
attestation autenticación
attestations autenticaciones
attic ático
attics áticos
atticus ático
attire atuendo
attires atuendos
attitude actitud
attitudes actitudes
attorney abogado
attorneys abogados
attraction atracción
attractions atracciones
attractiveness atractivo
attrap trampa
attribute atributo
attributes atributos
attrition desgaste
auber ámbar
aubergine berenjena
aubergines berenjenas
auburn castaño rojizo
auction subasta
auctions subastas
audacity audacia
audience público
audiences públicos
audile audible
audiles audibles
audiologist audiólogo
audiologists audiólogos
audiology audiología
audios audios
audit auditoría
auditing auditoría
audition audición
auditions audiciones
auditor auditor
auditorium auditorio
auditoriums auditorios
auditors auditores
audits auditoría
auger taladro
augers taladros
augmentation aumento
augmentations aumentos
auguries augurios
augury augurio
auklet pulsera de tobillo
auklets pulsera de tobillos
aumail correo
aunt tía
auntie tía
aunties tías
aunts tías
aunty tía
aura aura
aurae aura
auras auras
aureole aureola
auris aura
aussie australiano la australiana
aussies australiano la australianas
austerities austeridades
austerity austeridad
australians australianos
austrians austriacos
authentication autenticación
authentications autenticaciones
authenticity autenticidad
author autor
authorings autores
authorisation autorización
authorisations autorizaciones
authoritarianism autoritarismo
authoritarians autoritarios
authorities autoridades
authority autoridad
authorization autorización
authorizations autorizaciones
authors autores
authorship autoría
authorships autorías
autism autismo
autobiographies autobiografías
autobiography autobiografía
autoclave autoclave
autodidact autodidacta
autodidacts autodidactas
autographs autógrafos
automatics coche automáticos
automation automatización
automations automatizaciones
automatises coche automáticos
automaton autómata
automatons autómatas
automobile automóvil
automobiles automóviles
autonomies autonomías
autonomy autonomía
autonym antónimo
autonyms antónimos
autopsies autopsias
autopsy autopsia
autumn otoño
autumns otoños
autumny otoño
